name,email,homePhone,workPhone,customerType,birthday
Stanford Graham,,,1-872-131-1291 x0792,vip,Sat Jun 11 2016 07:59:38 GMT-0400 (EDT)
Walton Weber,Kevon51@fakehotmail.com,1-482-876-4209 x118,324-258-3381 x275,,Sat Feb 18 2017 06:50:08 GMT-0500 (EST)
Freddie Nader,Alyce0@fakegmail.com,077.716.1580,,regular,
Angelina Kirlin,%3CCindy_Roberts@fakehotmail.com%3E,1-006-823-6528 x24387,,customer,
Tess Denesik,Jonas_Aufderhar62@fakegmail.com,986-862-1120,1-470-556-6674 x28205,vip,Tue May 03 2016 18:02:28 GMT-0400 (EDT)
Karlee Wisoky,,,(453) 873-0918 x584,regular,Wed Nov 23 2016 08:32:11 GMT-0500 (EST)
Mia Robel,Graham38@fakeyahoo.com,(918) 551-2653 x5443,574-681-3661 x625,,Mon Mar 06 2017 07:37:00 GMT-0500 (EST)
Shyann Waelchi,Lamont_Collins46@fakeyahoo.com,1-278-032-9051 x92390,,regular,
Twila Marvin,,,(889) 174-0069,regular,Fri Apr 07 2017 09:28:12 GMT-0400 (EDT)
Jayde Monahan,%3CMaurine65@fakeyahoo.com%3E,046-498-3304,,customer,
Donna Kshlerin,Sammy96@fakehotmail.com,,129.363.7432,customer,Sat Jul 09 2016 06:54:33 GMT-0400 (EDT)
 ,Albina63@fakeyahoo.com,(136) 522-8569 x675,042.498.2378 x222,customer,
Elnora ,,,159.221.1987 x73647,customer,Thu Sep 29 2016 04:49:28 GMT-0400 (EDT)
Willow Strosin,Kara73@fakegmail.com,(112) 630-2948 x3394,073-457-7848 x0193,regular,
Nikita Rogahn,&lt;Vicky78@fakeyahoo.com&gt;,1-771-647-6251 x42010,736.657.1783 x7390,vip,Thu Apr 13 2017 13:56:21 GMT-0400 (EDT)
 ,Laila_Pouros@fakegmail.com,576-953-2720,937-457-3557 x0787,customer,
Mohammed Keebler,Deondre43@fakeyahoo.com,447.823.8814 x3292,1-270-033-1182 x98301,,Mon Oct 31 2016 20:14:01 GMT-0400 (EDT)
Tatum Mueller,Abdiel.Walker65@fakeyahoo.com,,(708) 614-7467,regular,Sat Dec 24 2016 13:45:36 GMT-0500 (EST)
 ,Nicholaus_Pfannerstill78@fakegmail.com,(361) 883-9901,(386) 185-8049 x9156,vip,
 ,Shaniya_Cartwright24@fakehotmail.com,(322) 692-0378,1-407-474-8793,customer,
Estrella McCullough,Jaleel.Torphy37@fakegmail.com,1-066-073-1732,132.201.8531 x90431,,Fri Aug 05 2016 12:25:50 GMT-0400 (EDT)
Maximo Cartwright,Abbigail.Durgan8@fakegmail.com,088.493.1972,403-725-2909,vip,Fri Apr 29 2016 22:02:04 GMT-0400 (EDT)
Gunner Leannon,Guillermo_VonRueden88@fakeyahoo.com,(193) 271-9250 x46302,126-816-7467 x06820,,Mon Jan 02 2017 07:25:56 GMT-0500 (EST)
Henderson Mertz,Curt82@fakehotmail.com,689.479.9691,1-782-613-5288 x3464,customer,Fri Jul 22 2016 14:31:09 GMT-0400 (EDT)
Devante Mitchell,,(489) 032-2934,,vip,
Deon Abernathy,Santino42@fakegmail.com,682-232-3021 x770,183.280.3820,,Fri Oct 28 2016 02:10:35 GMT-0400 (EDT)
Woodrow Towne,Roderick44@fakehotmail.com,808.311.5585 x2449,896-049-9421 x755,customer,Wed Mar 29 2017 16:25:00 GMT-0400 (EDT)
Patsy Kreiger,,993.929.5755 x144,,regular,Sat Sep 17 2016 09:46:16 GMT-0400 (EDT)
Matilde ,Kevin.Lesch@fakegmail.com,790-710-7730 x961,115-622-4873,customer,Sun Apr 02 2017 11:41:08 GMT-0400 (EDT)
Nathen Jaskolski,,489-738-4357 x4300,142-107-7587 x314,,Sat Feb 18 2017 20:27:36 GMT-0500 (EST)
Cheyanne Little,Loy.Hickle86@fakeyahoo.com,(846) 019-1673,283.073.0462,,Wed Mar 15 2017 02:03:45 GMT-0400 (EDT)
Elouise Fisher,Theron56@fakeyahoo.com,(830) 702-0201,(082) 669-9735,regular,Fri Feb 24 2017 09:16:51 GMT-0500 (EST)
Howard Schimmel,Nathanael_Hintz31@fakegmail.com,(915) 545-8935 x8426,,vip,
Howard Stokes,Ole31@fakegmail.com,(057) 560-2155 x59381,,vip,Fri Nov 11 2016 15:41:15 GMT-0500 (EST)
Ezra Harber,Brooklyn.Kautzer@fakehotmail.com,458.572.3320,1-411-688-0873 x879,,Thu Sep 08 2016 10:43:22 GMT-0400 (EDT)
Rodrigo Marquardt,Blanca4@fakeyahoo.com,(730) 144-2178 x273,421.784.5549 x1027,,Mon Sep 19 2016 09:21:35 GMT-0400 (EDT)
Erwin Murphy,Troy_Schiller84@fakeyahoo.com,308.309.6034,,customer,
Queenie Johnston,Colton_Stroman@fakehotmail.com,837.855.0172 x67060,818.396.5508,vip,Sun Sep 18 2016 02:54:06 GMT-0400 (EDT)
Garret Hegmann,Madyson12@fakehotmail.com,(080) 523-0551 x91320,,vip,
Cara Kautzer,,,(244) 488-5828,regular,Tue Feb 21 2017 14:49:31 GMT-0500 (EST)
 ,Trey.Cronin@fakeyahoo.com,435.430.2979,113-181-7540 x99138,regular,
Haylee Ward,Shaun.Keebler@fakehotmail.com,1-384-249-2513,,vip,
Ignacio Marks,Kaylee.Harvey0@fakehotmail.com,494-943-3289 x9959,650.291.5390 x4958,customer,Mon Feb 13 2017 03:17:26 GMT-0500 (EST)
Gilda Emard,Orin7@fakehotmail.com,819.215.2369 x3844,402-647-8061,regular,Wed May 25 2016 11:42:11 GMT-0400 (EDT)
Reece Wyman,Kaylie.Bogisich83@fakeyahoo.com,072.583.4845 x292,,regular,
Keon Hickle,Agustin.Friesen@fakehotmail.com,,1-876-701-2289 x6567,vip,
Olga McGlynn,Rosina46@fakeyahoo.com,(589) 701-5106 x85782,555-525-6412,,Wed Feb 22 2017 10:59:20 GMT-0500 (EST)
Delbert Kohler,Sanford_Jacobson@fakeyahoo.com,(658) 561-6172,311-507-6433 x52811,,Fri Nov 18 2016 19:30:24 GMT-0500 (EST)
Viva Swaniawski,Juanita64@fakehotmail.com,(506) 961-7407 x850,(530) 666-5845,vip,Wed Apr 20 2016 09:06:10 GMT-0400 (EDT)
Edgar Grant,Nickolas9@fakehotmail.com,1-548-844-5016 x8930,1-843-524-3802,regular,Mon Sep 12 2016 20:43:46 GMT-0400 (EDT)
 ,Juliet_Smitham78@fakegmail.com,873-450-2749,1-152-228-0051 x70275,customer,Sun Apr 24 2016 22:57:35 GMT-0400 (EDT)
Lavonne ,Cassandre_Hand28@fakegmail.com,029-555-7391 x0215,(822) 555-7010,regular,Fri Jun 17 2016 20:34:57 GMT-0400 (EDT)
Regan Luettgen,Anais36@fakehotmail.com,1-458-555-5440 x78064,1-525-555-9236,customer,Mon Aug 29 2016 15:00:11 GMT-0400 (EDT)
